"PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABBREVIATION","AGE","GP","FG_PCT","FG3_PCT","FT_PCT","PTS","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PFD","EFG_PCT","TS_PCT","USG_PCT","DEF_3PM","DEF_3PA","DEF_RIM_FGM","DEF_RIM_FGA","DRIVES","TOUCHES","ELBOW_TOUCHES","POST_TOUCHES","PAINT_TOUCHES","PASSES_MADE","PASSES_RECEIVED","SECONDARY_AST","POTENTIAL_AST","AST_PTS_CREATED","DIST_MILES_OFF","DIST_MILES_DEF","AVG_SPEED_OFF","AVG_SPEED_DEF","CONTESTED_SHOTS","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","DEFLECTIONS","CHARGES_DRAWN","SCREEN_ASSISTS","LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","OFF_LOOSE_BALLS_RECOVERED","BOX_OUTS","DEF_BOXOUTS","OFF_BOXOUTS","BOX_OUT_PLAYER_REBS","BOX_OUT_PLAYER_TEAM_REBS","PTS_OFF_TOV","PTS_2ND_CHANCE","PTS_FB","PTS_PAINT","OPP_PTS_OFF_TOV","OPP_PTS_2ND_CHANCE","OPP_PTS_FB","OPP_PTS_PAINT","CATCH_SHOOT_FG3M","CATCH_SHOOT_FG3A","CATCH_SHOOT_FG2A","CATCH_SHOOT_FG2M","PULL_UP_FG3M","PULL_UP_FG3A","PULL_UP_FG2A","PULL_UP_FG2M","REB_CONTEST","REB_UNCONTEST","OREB_CONTEST","OREB_UNCONTEST","OREB_CHANCES","DREB_CONTEST","DREB_UNCONTEST","DREB_CHANCES","FGM_AT_RIM","FGA_AT_RIM","OPP_FGM_AT_RIM","OPP_FGA_AT_RIM","FGM_SHORT_MID","FGA_SHORT_MID","FGM_LONG_MID","FGA_LONG_MID","TRANSITION_POSS","TRANSITION_PPP","TRANSITION_FGM","TRANSITION_FGA","ISOLATION_POSS","ISOLATION_PPP","ISOLATION_FGM","ISOLATION_FGA","PRBALLHANDLER_POSS","PRBALLHANDLER_PPP","PRBALLHANDLER_FGM","PRBALLHANDLER_FGA","PRROLLMAN_POSS","PRROLLMAN_PPP","PRROLLMAN_FGM","PRROLLMAN_FGA","POSTUP_POSS","POSTUP_PPP","POSTUP_FGM","POSTUP_FGA","SPOTUP_POSS","SPOTUP_PPP","SPOTUP_FGM","SPOTUP_FGA","HANDOFF_POSS","HANDOFF_PPP","HANDOFF_FGM","HANDOFF_FGA","CUT_POSS","CUT_PPP","CUT_FGM","CUT_FGA","OFFREBOUND_POSS","OFFREBOUND_PPP","OFFREBOUND_FGM","OFFREBOUND_FGA","MIN","TOV_BADPASS","TOV_LOSTBALL","PF_SHOOT","PF_OFF","PFD_SHOOT","PFD_OFF","AND1","FGA_BLOCKED"
"203932","Aaron Gordon","1610612743","DEN",25,50,0.463,0.335,0.651,618,231,499,59,176,97,149,77,207,284,161,33,34,97,89,137,0.522,0.547,0.204,71,189,70,118,228,2415,63,113,192,1644,1701,30,286,406,54.9,44.4,4.4,3.71,189,123,66,51,0,26,32,11,21,19,9,10,15,17,82,95,63,296,463,340,375,1344,41,109,14,7,18,66,92,33,107,176,51,25,154,56,151,289,111,176,536,825,46,102,37,105,135,1.23,58,91,62,0.839,17,48,40,0.85,14,33,39,1.385,21,32,128,1.023,59,106,140,0.929,47,130,31,1.065,12,26,85,1.412,53,69,57,1.105,29,52,1384,58,16,41,13,68,3,16,29
"1628988","Aaron Holiday","1610612754","IND",24,66,0.39,0.368,0.819,475,170,436,67,182,68,83,15,74,89,123,46,13,66,94,74,0.467,0.503,0.189,72,186,53,88,383,1620,11,0,22,1020,1351,19,217,327,47,43.9,4.7,3.98,204,85,119,97,0,2,26,15,11,28,27,1,1,22,76,32,88,170,387,404,337,1282,53,135,2,0,14,46,61,26,9,80,5,10,49,4,70,122,63,148,505,867,28,81,33,74,37,1.189,18,29,20,0.9,6,15,76,0.829,28,62,NA,NA,NA,NA,NA,NA,NA,NA,86,0.953,34,78,16,1.063,6,12,NA,NA,NA,NA,NA,NA,NA,NA,1176,39,16,36,4,33,12,2,32
"1630174","Aaron Nesmith","1610612738","BOS",21,46,0.438,0.37,0.786,218,78,178,40,108,22,28,28,99,127,23,15,9,23,87,29,0.551,0.573,0.133,29,84,42,59,73,767,8,1,33,536,416,4,46,57,27.2,24.9,4.53,4.15,132,84,48,24,1,6,26,11,15,21,18,3,12,20,32,31,18,66,255,167,158,622,37,93,0,0,3,15,16,8,46,80,19,8,63,27,72,155,29,47,229,366,8,21,22,63,30,1.133,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.81,28,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,10,7,48,1,9,6,1,12
"1627846","Abdel Nader","1610612756","PHX",27,24,0.491,0.419,0.757,160,57,116,18,43,28,37,7,55,62,19,10,9,19,34,35,0.569,0.605,0.183,13,41,16,34,83,389,0,0,17,226,270,1,27,50,14.8,12.7,4.75,4.1,76,46,30,18,0,1,9,5,4,12,11,1,4,10,21,27,19,78,132,74,96,354,18,41,1,0,0,2,4,2,13,48,3,4,24,10,44,80,31,55,136,216,8,16,8,20,11,0.818,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.933,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,4,4,16,7,19,4,4,7
"202329","Al-Farouq Aminu","1610612741","CHI",30,23,0.384,0.216,0.818,102,38,99,8,37,18,22,22,88,110,31,19,9,28,29,26,0.424,0.469,0.138,22,67,30,46,38,693,23,24,41,548,318,5,70,80,18.1,14.6,4.76,3.91,92,43,49,33,0,17,14,8,6,12,11,1,10,12,10,19,11,48,120,90,114,360,8,34,1,1,0,3,6,4,33,76,11,11,46,22,65,132,19,39,148,235,5,15,11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201143","Al Horford","1610612738","BOS",35,28,0.45,0.368,0.818,398,162,360,56,152,18,22,29,159,188,94,25,26,29,48,33,0.528,0.538,0.221,34,85,71,117,55,1500,75,109,97,1079,1112,3,146,240,29.7,23.9,4.2,3.57,247,194,53,33,0,62,16,8,8,64,61,3,29,56,51,33,10,164,253,189,193,754,48,131,27,9,1,6,28,13,70,115,13,15,77,57,100,243,53,88,283,437,38,82,30,79,52,0.846,17,46,NA,NA,NA,NA,NA,NA,NA,NA,105,0.943,40,93,75,0.947,27,59,174,1.011,62,163,NA,NA,NA,NA,56,1.339,30,45,29,1.621,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202692","Alec Burks","1610612752","NYK",29,49,0.42,0.415,0.856,623,210,500,102,246,101,118,21,206,227,107,31,14,49,102,94,0.522,0.564,0.208,55,185,55,87,290,1904,18,2,35,1241,1400,14,164,276,47.9,42.6,4.23,3.95,237,111,126,70,0,3,30,15,15,6,5,1,2,5,84,49,31,148,375,310,232,1078,55,144,3,1,46,99,116,46,50,173,9,12,69,41,161,282,51,105,419,721,32,90,72,170,62,1.355,24,49,42,0.881,12,32,213,0.887,56,168,NA,NA,NA,NA,NA,NA,NA,NA,230,1.061,79,198,29,0.966,10,26,13,1,4,11,14,0.929,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630197","Aleksej Pokusevski","1610612760","OKC",19,45,0.341,0.28,0.738,367,139,408,58,207,31,42,30,182,212,97,20,42,99,58,35,0.412,0.43,0.197,71,180,100,146,237,1861,12,5,46,1310,1178,16,176,250,45.6,36.5,4.87,3.86,301,171,130,36,0,23,10,5,5,11,11,0,3,9,41,24,27,116,519,305,269,1178,47,163,4,1,5,38,87,33,47,159,14,16,66,33,143,289,38,76,450,731,27,76,37,116,58,1.034,25,46,13,0.769,5,12,41,0.439,6,26,19,0.789,6,16,NA,NA,NA,NA,116,0.672,28,100,16,0.375,3,15,23,1.391,16,23,32,1,15,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1627936","Alex Caruso","1610612747","LAL",27,58,0.436,0.401,0.645,370,133,305,55,137,49,76,31,139,170,160,64,15,76,108,104,0.526,0.547,0.144,58,156,48,75,234,2553,32,3,48,2043,1863,22,318,417,49.6,44.3,4.51,4.08,182,85,97,129,15,17,38,24,14,31,30,1,4,19,60,32,64,140,393,272,258,1090,50,117,8,1,4,17,41,14,34,135,14,16,78,20,119,222,54,92,433,713,19,52,35,101,49,1.061,17,36,NA,NA,NA,NA,41,0.732,11,30,NA,NA,NA,NA,NA,NA,NA,NA,91,0.956,29,79,NA,NA,NA,NA,19,1.526,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203458","Alex Len","1610612764","WAS",28,64,0.615,0.32,0.629,423,171,278,8,25,73,116,78,182,260,49,20,64,55,127,75,0.629,0.643,0.161,31,104,129,246,17,1403,98,35,317,1010,757,6,88,140,39.1,35,4.71,3.94,459,399,60,58,0,131,18,7,11,106,85,21,43,89,60,84,30,322,381,267,248,986,8,24,11,1,0,1,1,1,117,143,55,25,181,62,118,313,140,187,360,555,23,64,6,20,17,1.176,7,11,NA,NA,NA,NA,NA,NA,NA,NA,70,0.971,29,57,12,0.5,2,8,15,1.2,6,13,NA,NA,NA,NA,59,0.966,24,45,27,1.296,15,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
